timestamp,subject_id,HR_BPM,SDNN_ms,RMSSD_ms,PPG_amplitude,SpO2_pct,ECG_RR_interval,_load_symp_activation,_load_thermo_load,_load_cerebral_bf,_load_oxidative_stress,_load_systemic_inflam,_load_neurotoxic,_load_thermal_comfort
2026-07-16 14:58:07,SUBJ_002,72.7,10,11.12,0.8508,98.2,822.51,4.0829,4.452,0.8076,19.0371,11.396,0.3129,1.7085
2026-07-16 15:00:56,SUBJ_002,74.8,10,12.2,0.7953,98.1,798.48,3.9794,4.332,0.698,17.3946,10.4138,0.2741,1.524
2026-07-16 15:04:43,SUBJ_002,76.9,10,16.29,0.7049,98.1,782.87,3.4414,3.828,0.7836,18.6402,11.1591,0.2987,1.2205
2026-07-16 15:10:54,SUBJ_002,78.7,10,10.65,0.7213,98.1,766.24,4.19,4.44,0.7078,15.7473,9.4241,0.2892,1.266
2026-07-16 15:18:38,SUBJ_002,79.5,10,17.47,0.7014,98.1,753.28,3.4141,3.432,0.9212,13.2412,7.9241,0.2462,0.996
2026-07-16 15:28:07,SUBJ_002,80.2,10,16.33,0.6713,98.0,755.34,3.4988,3.612,1.0762,16.8596,10.0913,0.292,0.9535
2026-07-16 15:37:57,SUBJ_002,81.2,10,12.53,0.6466,98.0,740.11,4.0204,3.948,1.1902,15.0287,8.9934,0.2849,1.078
2026-07-16 15:45:39,SUBJ_002,81.3,10,15.62,0.6495,97.9,739.6,3.6458,3.66,0.7574,11.4991,6.8781,0.2556,1.1075
2026-07-16 15:48:34,SUBJ_002,81.4,10,20.19,0.5898,97.9,738.93,2.9761,3.312,0.7316,16.7805,10.0442,0.287,1.0625
2026-07-16 15:55:56,SUBJ_002,81.7,10,17.5,0.5974,97.9,741.41,3.3143,3.672,0.6324,16.3011,9.757,0.2818,1.2415
2026-07-16 16:03:51,SUBJ_002,82.2,10,19.49,0.5596,97.9,730.05,3.055,3.576,0.6142,18.9252,11.3356,0.233,1.3435
2026-07-16 16:10:16,SUBJ_002,82.5,10,17.27,0.609,97.9,722.92,3.4246,3.468,0.8198,12.6028,7.5394,0.2659,1.2275
2026-07-16 16:19:59,SUBJ_002,83.0,10,17.68,0.6001,97.9,727.22,3.3418,3.588,0.5614,13.4142,8.0276,0.2498,1.169
2026-07-16 16:27:39,SUBJ_002,83.1,10,19.34,0.5689,97.9,713.35,3.1408,3.42,0.535,13.5766,8.1268,0.2287,1.0865
2026-07-16 16:31:08,SUBJ_002,82.9,10,24.24,0.5422,97.9,718.58,2.502,2.808,0.6194,14.6075,8.7433,0.2537,0.95
2026-07-16 16:39:43,SUBJ_002,83.2,10,18.13,0.5784,97.9,716.92,3.29,3.648,0.5862,15.6991,9.4031,0.1959,1.157
2026-07-16 16:46:02,SUBJ_002,83.0,10,19.22,0.5483,97.8,725.32,3.0909,3.54,0.521,16.5857,9.9293,0.2634,1.2025
2026-07-16 16:52:21,SUBJ_002,83.5,10,19.4,0.5715,97.9,716.38,3.132,3.36,0.673,14.1778,8.4864,0.2421,1.1005
2026-07-16 17:00:19,SUBJ_002,83.0,10,27.17,0.5875,97.8,741.11,2.1768,2.448,0.456,11.8623,7.0996,0.2116,0.8395
2026-07-16 17:02:27,SUBJ_002,82.7,10,29.03,0.5588,97.9,716.26,1.9251,2.268,0.5436,14.0097,8.3883,0.2085,0.8015
