timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-16 14:52:22,SUBJ_002,19.5,2.84,0.8185,0.1652,18.4,1.7,-1.34,-4.49,136.1,1.507,0.0112
2026-07-16 14:57:23,SUBJ_002,18.3,2.62,0.8091,0.1784,19.9,1.97,-1.22,-4.08,135.2,1.513,0.1764
2026-07-16 15:04:24,SUBJ_002,17.8,2.44,0.8063,0.1881,20.0,2.46,-0.01,-3.82,123.1,1.515,0.2217
2026-07-16 15:09:41,SUBJ_002,17.1,2.27,0.8002,0.1953,19.3,1.78,1.56,-2.88,116.9,1.519,0.303
2026-07-16 15:18:23,SUBJ_002,16.8,2.1,0.7905,0.1965,21.2,2.47,1.27,-3.94,132.1,1.52,0.3609
2026-07-16 15:27:50,SUBJ_002,16.2,1.98,0.7761,0.1965,20.2,2.43,-0.58,-4.9,118.3,1.523,0.3621
2026-07-16 15:35:24,SUBJ_002,15.6,1.88,0.7737,0.2133,23.1,2.02,1.24,-3.48,137.9,1.526,0.3543
2026-07-16 15:45:22,SUBJ_002,15.7,1.82,0.7645,0.2329,22.6,2.02,-1.14,-4.93,135.9,1.525,0.3465
2026-07-16 15:48:18,SUBJ_002,16.0,1.73,0.7647,0.2558,20.9,2.1,-1.54,-3.77,146.8,1.524,0.5385
2026-07-16 15:52:54,SUBJ_002,15.6,1.68,0.7595,0.2585,22.1,1.94,0.61,-5.34,129.3,1.526,0.5922
2026-07-16 15:58:45,SUBJ_002,16.1,1.63,0.7557,0.2593,22.8,2.28,-0.99,-3.15,144.7,1.524,0.6354
2026-07-16 16:06:14,SUBJ_002,16.1,1.58,0.7481,0.2657,22.3,2.06,0.06,-3.69,122.1,1.524,0.6633
2026-07-16 16:14:15,SUBJ_002,15.9,1.56,0.7468,0.2685,21.8,2.1,0.71,-4.55,134.9,1.524,0.6471
2026-07-16 16:23:33,SUBJ_002,15.7,1.54,0.749,0.2802,22.7,2.39,-0.52,-4.22,128.3,1.525,0.6297
2026-07-16 16:30:58,SUBJ_002,15.7,1.5,0.7476,0.277,22.2,1.87,-1.2,-4.07,139.3,1.526,0.6675
2026-07-16 16:38:14,SUBJ_002,15.4,1.5,0.7502,0.294,22.7,2.57,0.68,-4.28,124.6,1.527,0.6669
2026-07-16 16:45:13,SUBJ_002,15.6,1.5,0.7487,0.286,22.7,2.29,-0.01,-2.71,141.3,1.526,0.6036
2026-07-16 16:50:59,SUBJ_002,16.0,1.5,0.7518,0.302,22.4,1.7,-0.47,-5.31,131.5,1.524,0.573
2026-07-16 16:58:21,SUBJ_002,16.0,1.5,0.7542,0.3067,21.9,2.29,-0.57,-4.52,114.9,1.524,0.5625
2026-07-16 17:02:09,SUBJ_002,15.6,1.5,0.7503,0.3083,22.5,2.86,0.1,-4.99,141.9,1.526,0.6045
2026-07-16 17:05:31,SUBJ_002,14.9,1.5,0.7492,0.3174,23.9,2.11,-0.95,-3.37,125.4,1.529,0.5889
2026-07-16 17:11:54,SUBJ_002,15.3,1.52,0.7526,0.3218,22.5,2.55,0.06,-3.72,137.2,1.527,0.5286
2026-07-16 17:18:29,SUBJ_002,15.7,1.57,0.7504,0.3269,23.7,2.35,-0.09,-3.59,131.8,1.525,0.525
