timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-16 14:54:23,SUBJ_002,17.1,4.3,0.8345,0.1928,23.2,2.98,-2.93,-6.74,131.1,1.508,0.0336
2026-07-16 15:00:46,SUBJ_002,16.0,4.09,0.8234,0.2018,22.4,2.93,-3.2,-7.28,130.6,1.514,0.1077
2026-07-16 15:04:36,SUBJ_002,15.6,3.85,0.8187,0.2192,24.4,2.8,-4.18,-6.38,126.2,1.516,0.1527
2026-07-16 15:10:44,SUBJ_002,14.9,3.67,0.8145,0.231,24.2,2.64,-2.38,-7.11,133.4,1.52,0.261
2026-07-16 15:15:37,SUBJ_002,14.5,3.49,0.8134,0.2367,25.2,2.78,-2.2,-8.01,143.0,1.522,0.336
2026-07-16 15:23:00,SUBJ_002,14.0,3.39,0.8086,0.2361,25.5,3.21,-3.34,-7.55,147.0,1.525,0.4812
2026-07-16 15:25:35,SUBJ_002,13.7,3.29,0.8055,0.2379,25.2,3.37,-2.93,-5.87,123.8,1.527,0.4806
2026-07-16 15:29:03,SUBJ_002,13.5,3.23,0.7928,0.2521,25.7,3.06,-2.48,-5.87,133.3,1.528,0.5832
2026-07-16 15:37:10,SUBJ_002,13.3,3.14,0.7845,0.2612,26.2,2.88,-4.7,-6.79,145.4,1.529,0.582
2026-07-16 15:46:03,SUBJ_002,13.4,3.06,0.7805,0.2734,25.3,3.75,-2.04,-6.77,132.1,1.528,0.5841
2026-07-16 15:52:14,SUBJ_002,14.0,3.02,0.7821,0.2771,27.0,3.27,-3.73,-8.02,126.5,1.525,0.5622
2026-07-16 15:57:59,SUBJ_002,14.0,2.95,0.7727,0.2665,26.9,3.02,-0.27,-5.73,125.0,1.525,0.6297
2026-07-16 16:01:18,SUBJ_002,13.7,2.9,0.7715,0.2698,28.5,3.26,-2.73,-6.26,152.4,1.527,0.6102
2026-07-16 16:06:36,SUBJ_002,13.4,2.87,0.768,0.2787,29.8,3.42,-0.7,-6.47,138.2,1.528,0.5835
