timestamp,subject_id,HR_BPM,SDNN_ms,RMSSD_ms,PPG_amplitude,SpO2_pct,ECG_RR_interval,_load_symp_activation,_load_thermo_load,_load_cerebral_bf,_load_oxidative_stress,_load_systemic_inflam,_load_neurotoxic,_load_thermal_comfort
2026-07-08 14:22:02,SUBJ_020,76.5,33.69,40.84,0.7348,99.1,782.63,1.3291,1.452,0.6714,8.8328,5.2804,0.1483,0.4665
2026-07-08 14:30:05,SUBJ_020,77.9,31.86,44.3,0.6546,99.1,785.04,0.9114,0.984,0.9672,11.0226,6.5963,0.1328,0.2735
2026-07-08 14:37:22,SUBJ_020,78.4,45.05,41.94,0.6505,99.0,736.46,1.2627,1.176,0.6828,5.5485,3.3138,0.1181,0.4355
2026-07-08 14:47:09,SUBJ_020,78.5,44.62,44.18,0.6405,99.0,758.73,0.955,0.948,0.6666,6.7056,4.0063,0.1313,0.548
2026-07-08 14:55:06,SUBJ_020,79.0,45.38,37.63,0.6797,99.1,754.37,1.8696,1.524,0.8948,3.4588,2.0619,0.1029,0.7545
2026-07-08 14:59:41,SUBJ_020,79.4,41.09,40.26,0.6631,99.0,739.44,1.4472,1.44,0.6078,6.0703,3.6251,0.131,0.8795
2026-07-08 15:05:48,SUBJ_020,79.9,31.74,42.2,0.6304,99.0,762.04,1.1692,1.32,0.75,10.0474,6.0132,0.1172,0.9955
2026-07-08 15:11:53,SUBJ_020,80.1,40.23,43.59,0.6187,99.0,741.29,1.0268,1.068,0.7074,7.8627,4.7029,0.1136,0.8675
2026-07-08 15:15:12,SUBJ_020,80.6,38.19,38.36,0.6294,99.0,745.77,1.7073,1.68,0.6528,6.139,3.6705,0.0992,1.1655
2026-07-08 15:23:22,SUBJ_020,80.7,32.14,41.21,0.5991,99.0,744.07,1.2864,1.464,0.6494,9.4575,5.6587,0.1211,1.089
2026-07-08 15:32:27,SUBJ_020,81.0,48.53,46.51,0.5728,99.1,750.99,0.6482,0.72,0.5118,6.4345,3.8438,0.1304,0.9705
2026-07-08 15:38:12,SUBJ_020,80.9,38.02,42.68,0.5816,99.1,743.12,1.1139,1.284,0.533,8.1643,4.8841,0.111,1.0955
2026-07-08 15:45:03,SUBJ_020,80.6,53.09,44.0,0.6252,99.1,752.59,1.0339,0.936,0.5254,3.753,2.241,0.083,1.0075
2026-07-08 15:52:58,SUBJ_020,81.3,34.18,44.4,0.584,99.1,735.22,0.9247,0.96,0.9518,10.2326,6.1258,0.1058,1.0015
2026-07-08 15:58:19,SUBJ_020,81.5,47.87,40.58,0.6113,99.1,750.43,1.4694,1.284,0.6836,3.9294,2.3447,0.0995,1.1875
2026-07-08 16:04:45,SUBJ_020,81.5,60.97,52.34,0.6093,99.1,733.47,-0.0323,0.0,0.4276,4.9304,2.9487,0.0734,0.843
2026-07-08 16:11:05,SUBJ_020,80.9,48.75,48.53,0.5621,99.1,733.79,0.3777,0.588,0.3744,7.2677,4.3463,0.1097,0.952
2026-07-08 16:16:38,SUBJ_020,80.6,51.27,53.81,0.5133,99.0,739.22,-0.2971,0.0,0.388,8.8388,5.2904,0.099,0.6825
2026-07-08 16:19:11,SUBJ_020,80.1,59.08,51.61,0.5191,99.1,751.35,0.0628,0.0,0.6084,5.252,3.1385,0.0977,0.715
2026-07-08 16:24:53,SUBJ_020,80.4,54.28,44.1,0.5298,99.1,718.32,1.1637,0.384,1.5806,3.4385,2.0522,0.0834,0.8385
2026-07-08 16:34:49,SUBJ_020,80.4,44.96,48.04,0.5008,99.0,726.35,0.4104,0.756,0.2614,8.2948,4.9629,0.1075,0.972
2026-07-08 16:42:45,SUBJ_020,79.9,64.32,52.22,0.5483,99.0,739.66,-0.017,0.0,0.3356,3.7689,2.2505,0.0838,0.79
2026-07-08 16:50:03,SUBJ_020,79.9,54.83,53.13,0.561,99.0,738.21,-0.1816,0.0,0.4256,7.348,4.3965,0.0946,0.698
2026-07-08 16:58:15,SUBJ_020,79.9,60.11,53.25,0.5763,99.0,780.06,-0.1878,0.012,0.228,5.6313,3.3681,0.0818,0.801
2026-07-08 17:05:00,SUBJ_020,79.8,61.0,53.27,0.5972,99.0,721.44,-0.1821,0.0,0.229,5.348,3.199,0.0754,0.747
2026-07-08 17:10:12,SUBJ_020,79.3,68.82,51.26,0.6218,99.0,766.57,0.172,0.0,0.4512,1.8299,1.0925,0.0423,0.7305
2026-07-08 17:15:17,SUBJ_020,78.6,63.83,52.87,0.6142,99.0,758.07,-0.1129,0.024,0.192,4.2278,2.5284,0.0637,0.642
2026-07-08 17:24:25,SUBJ_020,78.4,70.88,51.93,0.6455,99.0,734.09,0.0791,0.0,0.2658,1.4431,0.8621,0.0293,0.6495
2026-07-08 17:33:41,SUBJ_020,78.5,67.0,51.46,0.6434,99.0,774.04,0.1216,0.0,0.4384,2.543,1.5175,0.0638,0.593
2026-07-08 17:41:21,SUBJ_020,77.9,65.83,52.91,0.6201,98.9,773.59,-0.1103,0.0,0.172,3.5985,2.1508,0.0643,0.4055
2026-07-08 17:46:46,SUBJ_020,77.5,68.92,52.45,0.6221,99.0,736.89,-0.0267,0.0,0.1848,2.3666,1.4128,0.055,0.317
2026-07-08 17:54:00,SUBJ_020,77.4,71.96,50.62,0.6617,99.0,779.24,0.2666,0.0,0.4732,0.5425,0.3182,0.0557,0.215
2026-07-08 17:56:22,SUBJ_020,77.2,61.06,54.2,0.6559,99.0,769.33,-0.3185,0.0,0.0564,5.7889,3.4655,0.0607,0.037
