timestamp,subject_id,HR_BPM,SDNN_ms,RMSSD_ms,PPG_amplitude,SpO2_pct,ECG_RR_interval,_load_symp_activation,_load_thermo_load,_load_cerebral_bf,_load_oxidative_stress,_load_systemic_inflam,_load_neurotoxic,_load_thermal_comfort
2026-07-08 14:21:43,SUBJ_016,79.2,10,14.97,1.0145,98.2,755.67,2.8816,2.508,0.9284,11.1736,6.6858,0.2625,0.6565
2026-07-08 14:27:57,SUBJ_016,81.3,10,10.86,0.9401,98.2,737.81,3.4011,2.928,1.1274,12.8888,7.7134,0.2843,0.8155
2026-07-08 14:33:50,SUBJ_016,82.7,10,10.25,0.9213,98.2,730.32,3.5195,2.988,0.929,10.4148,6.2314,0.25,1.132
2026-07-08 14:42:20,SUBJ_016,84.0,10,9.63,0.8888,98.1,715.76,3.5544,3.108,0.992,12.6216,7.5533,0.2812,1.2095
2026-07-08 14:44:39,SUBJ_016,84.9,10,10.04,0.8775,98.2,702.41,3.5785,3.036,0.8484,9.6487,5.7748,0.2055,1.225
2026-07-08 14:49:14,SUBJ_016,85.4,10,5.59,0.9209,98.2,702.66,4.1351,3.444,0.7346,7.8135,4.6692,0.2695,1.483
2026-07-08 14:55:43,SUBJ_016,85.7,10,11.09,0.9005,98.2,702.72,3.4422,2.856,1.0006,9.8318,5.8834,0.2243,1.462
2026-07-08 15:00:48,SUBJ_016,86.2,10,6.0,0.8915,98.1,694.85,4.1311,3.3,1.1022,8.6274,5.1602,0.2322,1.6635
2026-07-08 15:07:21,SUBJ_016,86.2,10,14.91,0.8926,98.1,686.64,2.9602,2.448,0.7138,7.0009,4.1854,0.2158,1.4915
2026-07-08 15:11:26,SUBJ_016,86.3,10,15.82,0.8847,98.1,694.83,2.775,2.304,0.9008,8.8923,5.3141,0.3036,1.38
2026-07-08 15:18:17,SUBJ_016,87.3,10,7.5,0.8568,98.2,687.2,3.9104,3.288,1.1334,11.8703,7.1081,0.2006,1.8185
2026-07-08 15:21:04,SUBJ_016,87.4,10,19.84,0.8649,98.1,681.17,2.2678,1.968,0.847,9.7721,5.8461,0.2462,1.4215
2026-07-08 15:26:00,SUBJ_016,87.5,10,10.95,0.8953,98.1,692.57,3.4743,2.844,0.6758,6.2236,3.7178,0.2339,1.698
2026-07-08 15:33:16,SUBJ_016,87.9,10,10.2,0.8974,98.1,674.23,3.6407,2.688,1.3826,7.4386,4.4483,0.2125,1.7275
