timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-04 16:30:14,SUBJ_005,10.3,3.15,0.7907,0.2668,34.5,3.15,9.65,-1.21,128.5,1.509,0
2026-07-04 16:33:19,SUBJ_005,8.8,2.91,0.7855,0.2862,36.4,2.94,11.17,-1.08,134.5,1.523,0
2026-07-04 16:38:15,SUBJ_005,7.7,2.74,0.7793,0.3095,35.4,3.12,7.94,-0.07,146.3,1.532,0
2026-07-04 16:43:20,SUBJ_005,7.5,2.6,0.7715,0.3299,34.4,2.93,8.34,-0.59,134.7,1.534,0.0108
2026-07-04 16:48:55,SUBJ_005,7.3,2.46,0.7662,0.347,33.3,3.83,8.37,0.66,137.6,1.536,0.0816
2026-07-04 16:57:06,SUBJ_005,6.6,2.37,0.763,0.3531,34.0,3.19,8.64,0.39,130.6,1.542,0.0879
2026-07-04 17:00:29,SUBJ_005,6.4,2.3,0.7595,0.3746,34.9,3.91,8.36,0.43,138.2,1.543,0.1494
2026-07-04 17:06:08,SUBJ_005,6.9,2.22,0.7526,0.3926,35.2,3.67,8.48,-1.24,128.8,1.54,0.1071
2026-07-04 17:10:32,SUBJ_005,6.6,2.16,0.7521,0.4066,35.9,3.11,9.39,1.7,108.8,1.542,0.111
2026-07-04 17:14:04,SUBJ_005,6.2,2.16,0.7475,0.4177,36.2,2.94,8.8,0.47,135.3,1.545,0.093
2026-07-04 17:16:07,SUBJ_005,5.7,2.11,0.7544,0.4168,36.1,3.86,8.14,0.12,136.3,1.55,0.0963
2026-07-04 17:21:36,SUBJ_005,5.8,2.06,0.7507,0.425,38.0,3.99,9.2,-0.81,136.8,1.549,0.0522
2026-07-04 17:26:48,SUBJ_005,5.6,2.06,0.7536,0.4366,36.0,4.01,6.97,0.37,128.5,1.551,0
2026-07-04 17:29:56,SUBJ_005,6.1,2.03,0.7494,0.4502,35.8,3.09,9.98,-0.65,138.4,1.547,0
2026-07-04 17:35:03,SUBJ_005,6.4,2.03,0.7483,0.4627,36.9,3.41,8.6,2.66,131.6,1.544,0
2026-07-04 17:43:02,SUBJ_005,6.5,2.01,0.7426,0.465,37.8,3.36,9.86,-0.29,135.1,1.543,0
