timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-04 16:26:57,SUBJ_005,12.0,2.77,0.8846,0.1391,36.2,2.31,5.84,3.52,129.5,1.513,0
2026-07-04 16:34:21,SUBJ_005,11.3,2.57,0.8767,0.1642,38.7,2.64,7.99,1.55,120.8,1.518,0.0489
2026-07-04 16:40:02,SUBJ_005,10.3,2.37,0.8742,0.185,38.5,2.85,9.17,2.74,120.0,1.525,0.0396
2026-07-04 16:49:36,SUBJ_005,9.2,2.2,0.8677,0.1879,37.6,2.92,5.13,4.36,115.0,1.533,0.033
2026-07-04 16:53:25,SUBJ_005,9.3,2.07,0.8587,0.2025,37.1,2.67,7.63,3.42,124.2,1.532,0.0561
2026-07-04 16:58:16,SUBJ_005,9.4,1.94,0.8551,0.2108,37.5,2.45,8.71,4.28,134.5,1.532,0.0648
2026-07-04 17:00:22,SUBJ_005,9.2,1.91,0.8461,0.2225,39.0,3.07,7.64,3.94,137.1,1.533,0.1842
2026-07-04 17:08:14,SUBJ_005,9.3,1.81,0.8387,0.2431,40.2,2.67,7.59,4.0,138.0,1.533,0.18
2026-07-04 17:17:04,SUBJ_005,8.7,1.76,0.8324,0.2496,40.4,2.18,8.11,3.75,115.8,1.537,0.1653
2026-07-04 17:24:48,SUBJ_005,8.1,1.69,0.8313,0.2567,41.6,3.14,9.48,3.56,126.2,1.541,0.153
2026-07-04 17:31:44,SUBJ_005,7.9,1.65,0.828,0.2831,39.7,2.97,7.17,5.29,143.2,1.543,0.1947
2026-07-04 17:38:58,SUBJ_005,7.6,1.59,0.8259,0.2925,40.5,2.83,8.4,3.12,132.5,1.545,0.081
2026-07-04 17:47:22,SUBJ_005,8.0,1.56,0.8228,0.2933,39.0,3.28,8.27,3.53,150.4,1.542,0.1398
2026-07-04 17:53:48,SUBJ_005,8.3,1.56,0.8167,0.2951,37.3,2.59,8.3,3.82,137.3,1.54,0.156
2026-07-04 17:56:43,SUBJ_005,8.1,1.53,0.824,0.3075,37.3,2.59,9.08,4.6,129.2,1.541,0.1515
2026-07-04 18:04:03,SUBJ_005,7.9,1.55,0.8217,0.3105,37.8,2.9,7.06,2.85,141.0,1.543,0.1839
2026-07-04 18:10:36,SUBJ_005,8.1,1.59,0.8197,0.3195,38.1,2.83,8.13,5.39,140.7,1.541,0.051
2026-07-04 18:16:40,SUBJ_005,8.7,1.62,0.8135,0.321,37.1,2.95,7.85,3.53,129.5,1.537,0.0885
2026-07-04 18:20:58,SUBJ_005,8.2,1.63,0.8109,0.3208,36.7,2.59,7.77,3.27,127.7,1.54,0.0765
2026-07-04 18:30:15,SUBJ_005,7.7,1.63,0.8103,0.3182,38.0,2.9,8.51,3.61,140.0,1.544,0.0456
2026-07-04 18:38:11,SUBJ_005,7.5,1.63,0.8118,0.3286,39.1,3.0,7.3,4.76,141.5,1.545,0
2026-07-04 18:46:30,SUBJ_005,7.8,1.65,0.8158,0.3276,38.7,2.89,8.26,2.69,129.2,1.543,0
2026-07-04 18:51:51,SUBJ_005,8.1,1.69,0.8228,0.3389,39.5,2.76,8.12,4.34,133.1,1.541,0
2026-07-04 18:57:55,SUBJ_005,8.1,1.69,0.8163,0.3381,39.5,2.45,8.23,4.88,117.6,1.541,0
2026-07-04 19:05:13,SUBJ_005,7.8,1.78,0.8177,0.3484,40.8,3.06,7.73,3.47,126.0,1.543,0
2026-07-04 19:09:05,SUBJ_005,7.6,1.86,0.8166,0.3579,39.2,2.88,8.69,4.07,137.5,1.545,0
2026-07-04 19:17:50,SUBJ_005,7.9,1.95,0.8062,0.3797,37.1,3.57,8.41,4.7,140.7,1.543,0
2026-07-04 19:21:06,SUBJ_005,7.2,2.01,0.8056,0.3712,37.8,2.05,9.47,3.02,132.2,1.548,0
2026-07-04 19:25:55,SUBJ_005,7.0,2.04,0.8093,0.3787,36.9,2.99,10.53,4.92,129.0,1.549,0
2026-07-04 19:33:43,SUBJ_005,7.1,2.06,0.8013,0.3839,37.2,2.35,8.93,5.41,141.2,1.548,0
2026-07-04 19:43:33,SUBJ_005,7.2,2.11,0.8036,0.39,37.5,3.18,10.2,6.2,135.3,1.547,0
2026-07-04 19:50:34,SUBJ_005,7.7,2.12,0.8072,0.3931,37.1,2.91,9.4,4.18,135.4,1.544,0
2026-07-04 19:54:59,SUBJ_005,7.5,2.13,0.8046,0.3937,37.7,2.47,7.38,3.25,137.0,1.546,0
2026-07-04 20:02:04,SUBJ_005,7.6,2.18,0.804,0.4054,37.7,2.83,8.92,5.09,137.3,1.545,0
2026-07-04 20:09:50,SUBJ_005,7.0,2.22,0.8045,0.4143,37.4,2.86,10.29,4.55,136.0,1.549,0
2026-07-04 20:16:02,SUBJ_005,7.8,2.24,0.8055,0.4202,37.4,2.23,12.44,4.53,142.7,1.544,0
2026-07-04 20:20:05,SUBJ_005,7.6,2.23,0.8034,0.4208,37.1,2.88,10.38,4.02,152.4,1.544,0
2026-07-04 20:28:48,SUBJ_005,7.6,2.22,0.7999,0.4316,36.6,2.69,10.08,4.0,135.3,1.545,0
2026-07-04 20:37:31,SUBJ_005,7.9,2.23,0.7988,0.4442,36.7,2.72,9.54,5.64,135.1,1.542,0
2026-07-04 20:43:51,SUBJ_005,7.9,2.21,0.7988,0.4328,38.1,2.75,6.76,4.33,121.9,1.542,0
2026-07-04 20:48:07,SUBJ_005,7.8,2.25,0.8024,0.4258,36.0,2.53,10.18,4.67,135.9,1.544,0
2026-07-04 20:50:20,SUBJ_005,7.9,2.27,0.805,0.4237,35.5,2.96,9.14,4.22,147.0,1.543,0
2026-07-04 20:58:32,SUBJ_005,7.4,2.27,0.8042,0.4206,37.2,2.79,9.96,4.65,132.0,1.546,0
2026-07-04 21:04:15,SUBJ_005,7.9,2.3,0.8029,0.4254,37.9,3.06,9.03,4.91,141.7,1.542,0
