timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-08 14:21:55,SUBJ_016,14.5,2.3,0.7785,0.1784,32.1,2.72,1.47,-6.31,128.3,1.507,0
2026-07-08 14:27:21,SUBJ_016,12.9,2.01,0.7667,0.1976,32.5,3.27,-1.4,-5.56,122.0,1.518,0
2026-07-08 14:32:16,SUBJ_016,11.8,1.82,0.7563,0.2136,31.7,2.73,-1.13,-4.2,131.1,1.524,0.0813
2026-07-08 14:40:40,SUBJ_016,11.4,1.59,0.7514,0.2252,31.7,2.67,-0.82,-5.36,129.5,1.527,0.069
2026-07-08 14:45:35,SUBJ_016,11.6,1.5,0.7465,0.2371,31.9,3.22,1.55,-5.69,129.2,1.526,0.1689
2026-07-08 14:47:57,SUBJ_016,11.3,1.5,0.7424,0.23,33.5,2.26,-0.67,-5.13,125.3,1.528,0.2049
2026-07-08 14:50:22,SUBJ_016,10.4,1.5,0.7451,0.2432,35.1,3.04,0.51,-4.77,133.1,1.533,0.2232
2026-07-08 14:59:19,SUBJ_016,10.5,1.5,0.7441,0.2481,32.2,2.58,-0.04,-5.01,116.4,1.533,0.2865
2026-07-08 15:04:12,SUBJ_016,10.4,1.5,0.7406,0.2589,32.0,2.5,-0.95,-4.29,144.6,1.533,0.297
2026-07-08 15:14:01,SUBJ_016,10.2,1.5,0.7399,0.2519,33.4,3.05,0.5,-5.12,132.0,1.535,0.3756
2026-07-08 15:16:52,SUBJ_016,9.9,1.5,0.7342,0.2647,32.9,3.14,-1.66,-4.25,117.6,1.537,0.3333
2026-07-08 15:18:58,SUBJ_016,9.9,1.5,0.7264,0.2725,33.4,2.99,-0.43,-4.99,124.5,1.537,0.3357
2026-07-08 15:27:42,SUBJ_016,9.9,1.5,0.7305,0.2774,32.9,3.41,0.58,-3.5,124.5,1.537,0.3255
2026-07-08 15:30:16,SUBJ_016,10.3,1.5,0.7237,0.2796,33.3,2.51,1.71,-4.18,126.0,1.534,0.3282
2026-07-08 15:36:35,SUBJ_016,10.2,1.5,0.718,0.2848,34.0,2.86,0.83,-5.47,144.8,1.535,0.3924
2026-07-08 15:40:04,SUBJ_016,10.2,1.5,0.718,0.2917,33.3,2.71,-0.86,-2.96,138.4,1.535,0.5019
2026-07-08 15:46:52,SUBJ_016,10.1,1.5,0.7191,0.2894,35.2,2.45,1.78,-5.45,118.1,1.535,0.5073
2026-07-08 15:56:30,SUBJ_016,10.0,1.5,0.7145,0.2891,34.8,3.05,0.5,-4.06,134.7,1.536,0.5484
2026-07-08 16:01:06,SUBJ_016,10.6,1.5,0.7194,0.3058,34.4,2.61,0.06,-4.73,122.3,1.533,0.6111
2026-07-08 16:04:27,SUBJ_016,10.0,1.5,0.7188,0.3068,34.4,3.14,0.6,-4.98,132.4,1.536,0.6636
2026-07-08 16:08:24,SUBJ_016,9.8,1.5,0.7122,0.3165,34.9,2.48,-0.6,-3.57,146.2,1.537,0.6252
