timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-16 14:52:50,SUBJ_002,14.4,3.62,0.7791,0.1434,27.6,3.32,4.98,-0.01,114.8,1.513,0
2026-07-16 15:00:15,SUBJ_002,13.7,3.34,0.7733,0.1511,31.6,3.37,6.44,1.09,114.7,1.517,0
2026-07-16 15:03:17,SUBJ_002,13.0,3.15,0.7694,0.155,31.2,3.53,5.75,0.37,114.6,1.521,0
2026-07-16 15:11:55,SUBJ_002,12.2,3.04,0.7625,0.1643,29.5,3.99,4.71,0.89,127.5,1.526,0.0552
2026-07-16 15:20:59,SUBJ_002,11.5,2.88,0.7641,0.1778,31.2,3.77,4.71,-0.01,127.8,1.53,0.1431
2026-07-16 15:29:24,SUBJ_002,11.4,2.77,0.7647,0.1829,31.6,3.64,2.59,1.03,132.1,1.531,0.2022
2026-07-16 15:37:38,SUBJ_002,11.2,2.68,0.7613,0.1952,32.0,3.44,4.45,0.36,129.4,1.532,0.2505
2026-07-16 15:41:24,SUBJ_002,11.6,2.57,0.7559,0.2034,31.8,3.71,6.14,1.39,138.7,1.53,0.33
2026-07-16 15:47:54,SUBJ_002,11.0,2.48,0.7545,0.2077,31.1,3.35,5.61,-0.3,127.1,1.534,0.2361
2026-07-16 15:51:31,SUBJ_002,11.4,2.38,0.7492,0.2121,32.2,4.42,4.75,0.92,131.7,1.531,0.3705
2026-07-16 16:01:03,SUBJ_002,11.5,2.35,0.7436,0.2192,32.8,4.1,2.25,1.3,128.7,1.53,0.3681
2026-07-16 16:09:21,SUBJ_002,11.8,2.36,0.7419,0.2277,31.6,3.18,4.51,0.33,137.7,1.529,0.399
2026-07-16 16:16:10,SUBJ_002,11.4,2.33,0.7352,0.2388,31.8,3.9,5.54,0.04,122.8,1.531,0.4149
