timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-16 14:58:07,SUBJ_002,15.5,2.6,0.8025,0.0817,34.5,3.29,-5.8,-6.63,118.6,1.509,0.0568
2026-07-16 15:00:56,SUBJ_002,14.4,2.37,0.7943,0.0899,36.4,3.21,-6.35,-7.56,131.3,1.516,0.0488
2026-07-16 15:04:43,SUBJ_002,13.1,2.17,0.7857,0.1031,36.4,3.06,-7.12,-6.8,123.3,1.523,0.0152
2026-07-16 15:10:54,SUBJ_002,13.0,2.06,0.7837,0.1209,36.1,2.84,-4.74,-5.04,133.4,1.523,0.056
2026-07-16 15:18:38,SUBJ_002,12.6,1.91,0.7766,0.1416,36.9,3.6,-7.65,-6.12,116.1,1.526,0
2026-07-16 15:28:07,SUBJ_002,12.2,1.77,0.765,0.1461,36.5,3.94,-5.88,-5.66,123.0,1.528,0.0008
2026-07-16 15:37:57,SUBJ_002,12.2,1.64,0.7599,0.1534,36.9,2.85,-6.33,-6.14,116.3,1.529,0.0778
2026-07-16 15:45:39,SUBJ_002,11.6,1.54,0.7532,0.1581,38.2,3.39,-6.67,-6.11,125.3,1.532,0.1195
2026-07-16 15:48:34,SUBJ_002,11.1,1.5,0.7491,0.1619,38.7,3.7,-7.74,-7.32,119.5,1.535,0.1407
2026-07-16 15:55:56,SUBJ_002,11.3,1.5,0.7446,0.1708,39.0,3.66,-5.99,-7.38,132.9,1.534,0.1989
2026-07-16 16:03:51,SUBJ_002,11.3,1.5,0.7461,0.18,38.4,3.59,-6.57,-7.26,115.4,1.534,0.2697
2026-07-16 16:10:16,SUBJ_002,12.5,1.5,0.7413,0.1852,38.1,2.83,-7.62,-6.45,118.8,1.527,0.2163
2026-07-16 16:19:59,SUBJ_002,12.4,1.5,0.7364,0.1955,38.3,2.91,-6.06,-6.01,130.2,1.527,0.1632
2026-07-16 16:27:39,SUBJ_002,12.0,1.5,0.7337,0.2147,36.7,3.06,-5.79,-5.97,121.9,1.529,0.1389
