timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-04 16:31:05,SUBJ_006,15.7,3.19,0.8607,0.2308,38.1,2.84,-5.65,-1.48,137.3,1.51,0
2026-07-04 16:35:03,SUBJ_006,15.0,2.94,0.8545,0.242,38.1,2.47,-4.69,-2.49,120.0,1.515,0
2026-07-04 16:38:32,SUBJ_006,14.3,2.79,0.85,0.2591,38.9,2.31,-2.84,-2.85,138.9,1.518,0
2026-07-04 16:48:07,SUBJ_006,13.5,2.59,0.8424,0.2865,39.4,2.69,-4.01,-1.45,128.4,1.523,0
2026-07-04 16:56:14,SUBJ_006,13.2,2.5,0.8393,0.3002,39.3,2.5,-3.3,-2.18,138.8,1.525,0
2026-07-04 17:00:19,SUBJ_006,12.9,2.42,0.8364,0.307,40.3,2.38,-3.6,-0.55,129.7,1.526,0.0609
2026-07-04 17:05:07,SUBJ_006,12.5,2.35,0.8275,0.3248,40.8,2.49,-4.36,-1.24,139.6,1.529,0.0039
2026-07-04 17:09:46,SUBJ_006,12.4,2.3,0.8232,0.3408,39.6,2.03,-4.38,-2.01,147.8,1.529,0.0435
2026-07-04 17:14:29,SUBJ_006,12.1,2.21,0.817,0.3566,38.6,2.69,-3.81,-3.3,129.9,1.531,0.0708
2026-07-04 17:18:01,SUBJ_006,12.0,2.19,0.8128,0.3606,38.1,2.54,-4.71,-0.96,135.8,1.531,0.0222
2026-07-04 17:27:49,SUBJ_006,12.0,2.13,0.8072,0.3652,38.6,2.47,-2.38,-2.22,137.3,1.532,0.0807
2026-07-04 17:35:12,SUBJ_006,11.2,2.08,0.806,0.368,38.9,2.79,-2.88,-1.73,127.0,1.536,0.1416
2026-07-04 17:41:12,SUBJ_006,11.7,2.06,0.8003,0.3818,38.0,2.9,-4.02,-1.9,122.5,1.533,0.1113
2026-07-04 17:43:35,SUBJ_006,11.5,2.05,0.8005,0.3828,38.1,2.57,-3.18,-2.82,132.6,1.534,0.0384
2026-07-04 17:50:06,SUBJ_006,11.2,2.02,0.7932,0.3778,39.1,2.71,-4.26,-2.65,141.8,1.536,0.0264
2026-07-04 17:58:31,SUBJ_006,11.9,2.02,0.7902,0.3664,39.7,2.71,-4.61,-1.57,138.5,1.532,0
2026-07-04 18:08:22,SUBJ_006,11.7,2.01,0.7928,0.3696,39.5,2.71,-2.46,-2.61,137.1,1.533,0
2026-07-04 18:16:12,SUBJ_006,11.7,2.04,0.7886,0.3847,40.5,3.36,-3.73,-1.94,144.4,1.533,0
2026-07-04 18:25:00,SUBJ_006,11.4,2.03,0.7874,0.4026,41.3,2.18,-4.09,-1.8,125.3,1.535,0
2026-07-04 18:34:53,SUBJ_006,11.3,2.02,0.7907,0.403,40.7,2.55,-1.92,-1.26,132.1,1.535,0
2026-07-04 18:42:40,SUBJ_006,11.2,2.0,0.7883,0.4117,39.9,2.09,-3.93,0.2,135.3,1.536,0
2026-07-04 18:49:25,SUBJ_006,11.0,2.02,0.7913,0.4218,39.4,2.79,-4.32,-1.71,140.7,1.537,0
2026-07-04 18:57:47,SUBJ_006,10.8,1.99,0.788,0.4246,39.8,2.38,-2.18,-1.18,142.9,1.538,0
2026-07-04 19:01:58,SUBJ_006,11.4,2.06,0.7898,0.4291,38.9,2.29,-2.41,-2.58,143.5,1.535,0
2026-07-04 19:05:34,SUBJ_006,11.3,2.2,0.7882,0.423,38.9,2.82,-2.19,-2.35,138.9,1.536,0
2026-07-04 19:15:18,SUBJ_006,11.7,2.27,0.7903,0.4399,39.2,2.28,-2.97,-1.54,138.2,1.533,0
2026-07-04 19:20:57,SUBJ_006,12.3,2.3,0.7927,0.4461,40.7,2.69,-1.95,-1.25,134.9,1.53,0
2026-07-04 19:27:16,SUBJ_006,12.1,2.36,0.7904,0.4411,40.2,2.47,-2.52,-1.92,138.5,1.531,0
2026-07-04 19:29:30,SUBJ_006,11.6,2.36,0.7857,0.4424,40.7,2.89,-3.26,-1.22,144.5,1.534,0
2026-07-04 19:33:32,SUBJ_006,11.6,2.41,0.7833,0.4407,39.6,2.68,-2.25,-1.76,133.3,1.534,0
2026-07-04 19:38:20,SUBJ_006,11.2,2.44,0.7824,0.4418,40.8,2.43,-3.09,-1.04,128.2,1.536,0
2026-07-04 19:41:05,SUBJ_006,11.1,2.46,0.7802,0.4374,40.1,3.06,-3.26,-2.86,126.6,1.537,0
2026-07-04 19:44:58,SUBJ_006,11.3,2.51,0.7801,0.4382,39.4,2.57,-2.28,-3.01,143.4,1.536,0
2026-07-04 19:54:28,SUBJ_006,11.4,2.52,0.778,0.4315,38.4,3.31,-3.36,-0.42,133.0,1.535,0
2026-07-04 20:01:11,SUBJ_006,11.9,2.52,0.7723,0.4562,37.9,2.98,-1.26,-2.8,143.2,1.532,0
2026-07-04 20:11:00,SUBJ_006,12.0,2.53,0.7773,0.466,37.7,2.42,-3.32,-2.32,128.9,1.531,0
2026-07-04 20:16:14,SUBJ_006,12.0,2.53,0.7807,0.4719,37.8,3.01,-2.67,-1.64,137.2,1.532,0
2026-07-04 20:25:22,SUBJ_006,11.9,2.53,0.7857,0.4746,36.4,2.67,-1.6,-1.57,136.6,1.532,0
2026-07-04 20:32:52,SUBJ_006,11.9,2.56,0.7845,0.4852,37.1,2.26,-1.89,-1.26,134.5,1.532,0
2026-07-04 20:38:53,SUBJ_006,11.8,2.59,0.7827,0.4954,38.5,2.47,-2.75,-0.62,140.9,1.533,0
2026-07-04 20:44:52,SUBJ_006,12.2,2.63,0.7852,0.5033,39.0,2.84,-0.3,-1.24,129.6,1.53,0
2026-07-04 20:48:41,SUBJ_006,11.4,2.65,0.7801,0.5016,39.3,3.23,-3.29,-0.75,139.6,1.535,0
2026-07-04 20:56:44,SUBJ_006,12.0,2.67,0.7826,0.5066,39.1,2.63,-2.63,-1.32,130.3,1.531,0
