timestamp,subject_id,HR_BPM,SDNN_ms,RMSSD_ms,PPG_amplitude,SpO2_pct,ECG_RR_interval,_load_symp_activation,_load_thermo_load,_load_cerebral_bf,_load_oxidative_stress,_load_systemic_inflam,_load_neurotoxic,_load_thermal_comfort
2026-07-04 16:28:19,SUBJ_006,68.2,23.82,31.76,1.1574,98.7,872.34,0.5433,0.852,0.6164,4.1801,2.4955,-0.1083,0.2895
2026-07-04 16:34:42,SUBJ_006,68.8,15.77,30.72,1.2299,98.7,877.31,0.5535,1.344,0.4582,6.3588,3.8029,-0.1071,0.4055
2026-07-04 16:43:56,SUBJ_006,69.1,23.08,36.35,1.2661,98.6,861.54,-0.0967,0.504,0.3918,6.4802,3.8751,-0.1127,0.2485
2026-07-04 16:50:07,SUBJ_006,69.5,17.49,32.0,1.2943,98.6,878.24,0.3987,1.176,0.4012,6.3591,3.803,-0.1074,0.5025
2026-07-04 16:59:38,SUBJ_006,70.1,21.06,31.66,1.3447,98.6,829.03,0.4448,1.128,0.325,5.1709,3.0929,-0.083,0.5985
2026-07-04 17:05:25,SUBJ_006,70.1,23.25,32.87,1.3782,98.6,870.45,0.3405,0.876,0.3976,4.921,2.9415,-0.0961,0.6095
2026-07-04 17:13:39,SUBJ_006,70.3,20.77,29.33,1.4164,98.6,841.88,0.8215,1.188,0.6756,4.1412,2.4736,-0.0963,0.6055
2026-07-04 17:21:38,SUBJ_006,69.9,30.7,34.51,1.4336,98.6,878.0,0.1813,0.516,0.261,3.2626,1.9473,-0.0888,0.364
2026-07-04 17:29:28,SUBJ_006,70.0,21.8,37.06,1.442,98.5,851.79,-0.2685,0.48,0.3442,7.5523,4.5247,-0.0583,0.431
2026-07-04 17:38:07,SUBJ_006,70.2,28.95,35.35,1.4285,98.5,857.44,0.0349,0.468,0.2742,4.3366,2.5938,-0.0707,0.456
2026-07-04 17:41:29,SUBJ_006,70.6,21.59,38.12,1.4209,98.5,843.39,-0.389,0.42,0.276,7.9077,4.7343,-0.0889,0.448
2026-07-04 17:50:54,SUBJ_006,70.9,25.3,34.3,1.4368,98.5,839.09,0.2162,0.504,0.6274,4.9512,2.9601,-0.0919,0.2875
2026-07-04 17:53:12,SUBJ_006,71.1,22.99,36.51,1.4564,98.5,843.52,-0.171,0.6,0.2018,6.6754,3.9942,-0.0955,0.3215
2026-07-04 18:01:42,SUBJ_006,71.4,24.94,37.16,1.4616,98.5,853.32,-0.2613,0.432,0.2296,6.5339,3.9129,-0.0639,0.2005
2026-07-04 18:11:16,SUBJ_006,71.3,33.04,38.69,1.4617,98.5,845.15,-0.3279,0.0,0.218,4.3322,2.5876,-0.1014,0.012
2026-07-04 18:20:32,SUBJ_006,71.1,24.99,38.89,1.4563,98.5,835.29,-0.4916,0.276,0.1696,7.283,4.362,-0.0675,0.1415
2026-07-04 18:24:27,SUBJ_006,70.9,28.31,39.17,1.4474,98.5,839.29,-0.4215,0.0,0.3934,6.1668,3.6894,-0.0924,0.1765
2026-07-04 18:29:28,SUBJ_006,71.1,25.82,40.56,1.4334,98.5,849.31,-0.6638,0.0,0.2744,7.6802,4.5986,-0.0824,0.232
2026-07-04 18:33:14,SUBJ_006,70.5,31.69,37.17,1.4562,98.5,848.82,-0.1293,0.06,0.458,4.2479,2.54,-0.0761,0.218
2026-07-04 18:38:14,SUBJ_006,70.5,29.78,38.08,1.445,98.5,863.37,-0.2765,0.0,0.4924,5.3772,3.2191,-0.0625,0.2025
2026-07-04 18:45:39,SUBJ_006,69.9,32.81,39.59,1.4484,98.5,844.52,-0.4746,0.0,0.0644,4.7934,2.8642,-0.1025,0.2565
2026-07-04 18:50:35,SUBJ_006,69.7,35.66,38.39,1.4718,98.5,856.82,-0.2876,0.0,0.1142,3.3662,2.0091,-0.0919,0.398
2026-07-04 18:58:18,SUBJ_006,70.1,29.06,40.26,1.4904,98.5,876.67,-0.5814,0.0,0.1586,6.3047,3.7704,-0.1079,0.271
2026-07-04 19:05:49,SUBJ_006,70.3,28.07,39.49,1.4769,98.5,837.66,-0.4441,0.0,0.3616,6.2219,3.7195,-0.1185,0.2805
2026-07-04 19:12:54,SUBJ_006,70.3,28.38,40.93,1.4601,98.5,851.51,-0.6992,0.0,0.0724,6.8766,4.1143,-0.101,0.203
2026-07-04 19:19:46,SUBJ_006,70.3,29.44,40.29,1.4383,98.4,860.84,-0.6057,0.0,0.1216,6.2952,3.7666,-0.0911,0.3375
2026-07-04 19:27:49,SUBJ_006,70.7,15.98,43.27,1.4001,98.4,825.49,-1.0651,0.0,0.3618,11.8704,7.1077,-0.1258,0.5245
