timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-04 16:26:53,SUBJ_005,14.7,2.57,0.8681,0.2493,17.0,4.06,-13.17,-4.68,130.7,1.506,0
2026-07-04 16:31:57,SUBJ_005,13.0,2.34,0.8578,0.2689,16.3,3.86,-12.65,-5.47,129.1,1.517,0
2026-07-04 16:40:29,SUBJ_005,12.6,2.17,0.8463,0.2878,17.0,3.15,-12.31,-4.92,148.2,1.52,0
2026-07-04 16:47:35,SUBJ_005,12.0,1.97,0.8395,0.3007,16.8,3.74,-12.15,-5.75,129.1,1.523,0
2026-07-04 16:56:13,SUBJ_005,11.3,1.86,0.833,0.322,18.5,3.96,-10.82,-4.86,139.3,1.528,0
2026-07-04 16:58:46,SUBJ_005,11.2,1.71,0.8326,0.3282,19.5,3.52,-12.27,-5.43,145.8,1.529,0
2026-07-04 17:04:51,SUBJ_005,11.1,1.64,0.823,0.3442,20.6,2.97,-9.93,-4.45,141.9,1.529,0
2026-07-04 17:13:01,SUBJ_005,10.8,1.59,0.8246,0.3587,19.4,3.45,-12.82,-4.16,128.1,1.531,0
2026-07-04 17:15:34,SUBJ_005,10.7,1.57,0.8207,0.3662,22.0,3.42,-11.59,-3.13,133.2,1.532,0
2026-07-04 17:20:09,SUBJ_005,10.2,1.56,0.8154,0.3818,22.2,3.62,-11.67,-4.06,137.8,1.535,0
2026-07-04 17:22:31,SUBJ_005,10.2,1.51,0.8162,0.3878,21.0,3.77,-9.53,-4.87,130.4,1.535,0
2026-07-04 17:29:08,SUBJ_005,10.2,1.52,0.8134,0.3955,20.5,3.21,-11.19,-3.59,143.4,1.535,0
2026-07-04 17:36:11,SUBJ_005,10.1,1.5,0.8117,0.406,19.3,3.59,-11.28,-4.61,144.7,1.535,0
2026-07-04 17:45:47,SUBJ_005,10.2,1.5,0.8044,0.414,18.2,3.67,-10.85,-3.48,137.7,1.535,0
2026-07-04 17:53:21,SUBJ_005,10.1,1.5,0.804,0.4205,16.9,3.87,-11.31,-2.19,140.8,1.535,0
2026-07-04 18:02:42,SUBJ_005,10.4,1.5,0.8032,0.4282,17.3,3.11,-10.76,-5.31,128.9,1.534,0
2026-07-04 18:09:41,SUBJ_005,10.7,1.5,0.8057,0.4197,17.5,3.46,-10.44,-4.16,125.6,1.532,0
2026-07-04 18:16:35,SUBJ_005,10.4,1.5,0.8066,0.4194,17.5,3.06,-10.69,-6.15,134.4,1.534,0
2026-07-04 18:18:43,SUBJ_005,10.3,1.5,0.7997,0.427,18.2,3.48,-12.35,-3.09,134.4,1.534,0
2026-07-04 18:22:45,SUBJ_005,10.3,1.5,0.8002,0.4356,18.9,3.34,-9.33,-4.62,129.0,1.534,0
2026-07-04 18:30:29,SUBJ_005,10.0,1.5,0.802,0.4283,18.2,4.05,-10.92,-4.25,145.8,1.536,0
2026-07-04 18:33:34,SUBJ_005,10.1,1.5,0.8024,0.4248,20.3,3.14,-12.53,-4.61,156.2,1.535,0
2026-07-04 18:40:22,SUBJ_005,10.0,1.5,0.804,0.4227,20.3,3.66,-11.41,-2.71,134.1,1.536,0
2026-07-04 18:45:48,SUBJ_005,10.2,1.5,0.8009,0.4323,19.7,3.83,-10.24,-4.22,132.8,1.535,0
2026-07-04 18:53:05,SUBJ_005,10.3,1.5,0.7969,0.4391,19.5,3.54,-9.42,-4.81,134.1,1.534,0
2026-07-04 19:01:12,SUBJ_005,10.6,1.5,0.7944,0.4508,20.0,3.76,-9.0,-3.9,135.9,1.532,0
2026-07-04 19:03:17,SUBJ_005,10.2,1.56,0.7933,0.4612,20.4,3.8,-10.93,-3.95,141.1,1.535,0
2026-07-04 19:11:28,SUBJ_005,10.3,1.62,0.7877,0.4675,20.0,3.77,-11.01,-5.2,144.2,1.534,0
2026-07-04 19:19:22,SUBJ_005,9.9,1.7,0.7855,0.4695,20.3,3.94,-12.89,-3.3,145.1,1.537,0
2026-07-04 19:24:23,SUBJ_005,9.8,1.78,0.7815,0.4713,20.9,3.4,-10.7,-2.11,124.7,1.538,0
2026-07-04 19:31:03,SUBJ_005,10.4,1.83,0.7814,0.4688,21.4,3.91,-10.98,-2.38,130.6,1.534,0
2026-07-04 19:39:32,SUBJ_005,10.0,1.84,0.7776,0.4624,19.9,3.85,-10.16,-3.95,134.1,1.536,0
2026-07-04 19:48:35,SUBJ_005,9.4,1.85,0.7728,0.4638,19.1,3.31,-10.08,-3.1,136.1,1.54,0
2026-07-04 19:53:47,SUBJ_005,9.5,1.87,0.7747,0.4665,19.7,3.59,-9.96,-3.52,129.7,1.539,0
2026-07-04 20:01:23,SUBJ_005,9.7,1.9,0.7715,0.4789,21.0,3.77,-9.78,-4.14,142.2,1.538,0
2026-07-04 20:03:42,SUBJ_005,9.4,1.92,0.7684,0.4976,21.0,3.78,-8.44,-4.17,124.1,1.54,0
2026-07-04 20:12:33,SUBJ_005,9.7,1.93,0.7686,0.5082,19.9,3.35,-11.55,-4.0,128.5,1.538,0
