timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-04 16:28:19,SUBJ_006,15.5,3.09,0.8974,0.1962,32.2,2.04,-9.12,-7.88,131.3,1.507,0
2026-07-04 16:34:42,SUBJ_006,14.7,2.85,0.8911,0.2197,32.7,2.12,-6.06,-8.67,134.1,1.513,0
2026-07-04 16:43:56,SUBJ_006,13.5,2.68,0.8867,0.2256,33.2,2.11,-9.58,-6.46,125.6,1.519,0.0735
2026-07-04 16:50:07,SUBJ_006,12.9,2.5,0.8792,0.2349,34.2,2.41,-8.64,-7.79,124.2,1.523,0.1251
2026-07-04 16:59:38,SUBJ_006,12.5,2.33,0.8726,0.249,34.6,2.63,-10.05,-7.29,131.6,1.525,0.1899
2026-07-04 17:05:25,SUBJ_006,12.9,2.22,0.8706,0.255,33.8,2.4,-9.13,-7.98,130.1,1.523,0.2343
2026-07-04 17:13:39,SUBJ_006,12.9,2.18,0.8647,0.2742,33.6,2.44,-8.66,-8.64,120.9,1.523,0.1851
2026-07-04 17:21:38,SUBJ_006,12.7,2.14,0.8572,0.2801,34.9,2.49,-8.53,-7.8,128.5,1.525,0.141
2026-07-04 17:29:28,SUBJ_006,11.9,2.07,0.8542,0.2931,36.1,2.01,-9.22,-8.56,129.8,1.529,0.1866
2026-07-04 17:38:07,SUBJ_006,11.7,2.04,0.8515,0.3057,35.7,2.63,-7.19,-7.56,115.7,1.53,0.2034
2026-07-04 17:41:29,SUBJ_006,11.7,1.99,0.8538,0.3123,35.3,2.41,-8.11,-7.75,143.4,1.53,0.2058
2026-07-04 17:50:54,SUBJ_006,11.5,1.99,0.8437,0.3188,34.6,1.92,-7.81,-6.32,128.7,1.532,0.0969
2026-07-04 17:53:12,SUBJ_006,11.3,1.94,0.839,0.3293,36.0,2.19,-8.52,-8.12,131.9,1.533,0.1029
2026-07-04 18:01:42,SUBJ_006,11.3,1.97,0.8358,0.3367,34.3,2.19,-8.72,-7.2,133.0,1.533,0.0555
2026-07-04 18:11:16,SUBJ_006,11.3,1.97,0.8381,0.3368,34.5,2.0,-7.01,-7.1,141.8,1.533,0
2026-07-04 18:20:32,SUBJ_006,11.2,1.99,0.8378,0.3513,34.6,2.84,-7.76,-7.82,124.3,1.533,0
2026-07-04 18:24:27,SUBJ_006,11.5,1.99,0.8364,0.3583,34.0,2.06,-6.12,-8.15,149.5,1.531,0
