timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-08 14:19:51,SUBJ_020,16.2,2.78,0.9082,0.1697,28.0,3.27,4.09,-3.13,116.6,1.506,0.0424
2026-07-08 14:22:41,SUBJ_020,15.0,2.51,0.897,0.1832,27.0,3.11,2.67,0.1,134.0,1.513,0.088
2026-07-08 14:26:02,SUBJ_020,14.5,2.33,0.8827,0.1874,28.2,3.52,3.12,-2.56,118.3,1.517,0.056
2026-07-08 14:35:45,SUBJ_020,13.4,2.16,0.8782,0.1931,29.8,3.03,2.38,-1.97,123.4,1.523,0.145
2026-07-08 14:43:36,SUBJ_020,12.5,1.99,0.8731,0.1908,29.2,3.58,4.71,-3.23,120.7,1.528,0.2271
2026-07-08 14:52:52,SUBJ_020,12.3,1.87,0.8678,0.1879,28.8,3.49,2.74,-0.8,133.6,1.529,0.2551
2026-07-08 15:02:44,SUBJ_020,11.6,1.77,0.8647,0.1978,28.4,3.43,1.03,-1.71,127.0,1.533,0.2869
2026-07-08 15:07:31,SUBJ_020,11.4,1.65,0.855,0.2038,29.1,3.68,2.41,-1.97,133.0,1.534,0.3735
2026-07-08 15:10:31,SUBJ_020,10.9,1.57,0.8515,0.219,29.6,3.17,2.26,-1.53,129.7,1.537,0.4544
2026-07-08 15:13:31,SUBJ_020,11.4,1.52,0.8515,0.2275,31.8,3.06,2.27,-0.79,135.8,1.534,0.4849
2026-07-08 15:21:32,SUBJ_020,11.5,1.5,0.843,0.2381,32.0,3.3,2.59,-1.76,139.2,1.534,0.4469
2026-07-08 15:29:21,SUBJ_020,12.1,1.5,0.8448,0.2415,32.0,3.24,4.55,-1.36,140.8,1.53,0.5202
2026-07-08 15:38:23,SUBJ_020,11.7,1.5,0.8478,0.244,31.1,3.39,0.17,-0.85,121.5,1.532,0.6319
2026-07-08 15:47:43,SUBJ_020,11.7,1.5,0.8415,0.2407,32.0,2.97,3.98,-1.78,118.8,1.533,0.5997
2026-07-08 15:51:40,SUBJ_020,11.9,1.5,0.8371,0.2449,31.8,3.19,3.14,-1.02,123.2,1.531,0.6619
2026-07-08 15:55:37,SUBJ_020,12.0,1.5,0.8344,0.2531,31.0,3.26,3.25,-0.94,133.6,1.531,0.6567
2026-07-08 16:00:51,SUBJ_020,11.7,1.5,0.8308,0.2596,30.9,3.73,1.74,-2.56,127.1,1.533,0.6206
2026-07-08 16:09:43,SUBJ_020,12.0,1.5,0.8247,0.2561,30.9,3.62,3.35,-1.84,139.9,1.531,0.5898
2026-07-08 16:13:27,SUBJ_020,12.2,1.5,0.8271,0.2708,32.3,3.17,4.87,-1.17,123.1,1.529,0.5064
2026-07-08 16:21:18,SUBJ_020,12.6,1.5,0.8234,0.2732,32.7,2.9,1.83,-1.62,136.3,1.528,0.566
2026-07-08 16:23:54,SUBJ_020,12.3,1.5,0.8215,0.2773,31.4,2.67,4.94,0.12,129.2,1.529,0.4554
2026-07-08 16:26:53,SUBJ_020,12.3,1.5,0.8241,0.2821,30.6,2.93,2.85,-0.55,133.8,1.529,0.43
2026-07-08 16:31:24,SUBJ_020,12.3,1.5,0.8213,0.2873,31.5,3.45,4.91,-1.75,120.7,1.529,0.4902
2026-07-08 16:37:36,SUBJ_020,11.7,1.5,0.8214,0.2809,31.0,3.01,2.92,-0.98,130.1,1.533,0.3891
2026-07-08 16:46:00,SUBJ_020,12.0,1.5,0.8262,0.2916,29.5,3.58,4.29,-2.34,132.7,1.531,0.3759
