timestamp,subject_id,blink_frequency_per_min,pupil_diameter_mm,gaze_stability_score,drowsiness_index,eye_strain_score,saccadic_deviation_deg,yaw_angle_deg,pitch_angle_deg,blink_duration_ms,inter_blink_interval_ratio,dryness_index
2026-07-08 14:23:25,SUBJ_016,13.1,2.66,0.8695,0.169,8.9,2.88,7.28,-3.2,129.1,1.512,0
2026-07-08 14:29:06,SUBJ_016,12.2,2.43,0.8518,0.175,9.5,2.81,4.78,-2.99,119.1,1.518,0.0933
2026-07-08 14:31:22,SUBJ_016,11.9,2.21,0.8437,0.1822,11.0,2.69,4.79,-4.5,140.6,1.52,0.2399
2026-07-08 14:38:28,SUBJ_016,11.7,2.06,0.8387,0.1801,12.1,2.6,4.29,-3.31,124.8,1.521,0.2877
2026-07-08 14:41:39,SUBJ_016,11.1,1.91,0.8291,0.1843,12.0,3.01,3.63,-4.38,128.4,1.525,0.3171
2026-07-08 14:47:21,SUBJ_016,10.8,1.74,0.8267,0.1935,12.2,3.36,3.31,-3.33,143.2,1.528,0.4401
2026-07-08 14:52:50,SUBJ_016,10.4,1.6,0.8235,0.2121,12.1,2.71,4.35,-2.3,136.9,1.53,0.5663
2026-07-08 14:58:16,SUBJ_016,10.1,1.53,0.8222,0.2152,13.1,3.18,6.78,-4.95,130.5,1.532,0.651
2026-07-08 15:03:24,SUBJ_016,10.4,1.5,0.819,0.2232,11.8,2.92,5.16,-3.65,138.4,1.53,0.7326
2026-07-08 15:12:56,SUBJ_016,10.0,1.5,0.8131,0.2384,11.4,2.84,3.6,-3.3,138.6,1.533,0.7377
2026-07-08 15:20:27,SUBJ_016,10.1,1.5,0.808,0.2487,11.7,2.95,7.51,-3.91,116.1,1.532,0.7485
2026-07-08 15:28:15,SUBJ_016,9.9,1.5,0.8068,0.2548,12.1,2.94,4.4,-2.95,127.0,1.533,0.75
2026-07-08 15:36:52,SUBJ_016,9.4,1.5,0.806,0.2571,11.3,2.96,5.78,-3.62,128.9,1.537,0.75
2026-07-08 15:44:41,SUBJ_016,9.6,1.5,0.801,0.2574,11.4,3.39,5.36,-3.83,130.9,1.535,0.75
2026-07-08 15:51:22,SUBJ_016,9.9,1.5,0.7988,0.2687,11.9,3.19,4.62,-1.41,129.3,1.534,0.7413
2026-07-08 15:55:58,SUBJ_016,9.9,1.5,0.7972,0.2709,11.1,2.94,3.92,-2.33,138.6,1.534,0.75
2026-07-08 16:00:41,SUBJ_016,9.8,1.5,0.7959,0.2951,11.6,3.22,5.66,-1.57,129.5,1.534,0.7449
